orderid,customerid,productid,employeeid,orderdate,productprice,productquantity,totalamount
71,193,18,4,2024/06/06,98765.43,3,296296.29
72,111,3,7,2024/06/06,19876.45,1,19876.45
73,166,2,9,2024/06/05,56749.78,2,113499.56
74,193,37,1,2024/06/06,78901.23,1,78901.23
75,106,50,2,2024/06/07,9876.54,2,19753.08
76,105,57,9,2024/06/05,98765.43,5,493827.15
77,188,5,7,2024/06/05,34567.89,2,69135.78
78,44,49,4,2024/06/06,7890.12,3,23670.36
79,160,18,10,2024/06/06,98765.43,3,296296.29
80,140,33,10,2024/06/07,23456.78,2,46913.56
81,197,34,5,2024/06/05,7890.12,4,31560.48
82,147,33,3,2024/06/05,23456.78,4,93827.12
83,83,29,3,2024/06/05,9876.54,1,9876.54
84,28,54,2,2024/06/06,23456.78,2,46913.56
85,30,49,6,2024/06/05,7890.12,2,15780.24
86,142,29,1,2024/06/06,9876.54,5,49382.7
87,150,49,4,2024/06/07,7890.12,5,39450.6
88,28,17,5,2024/06/07,34567.89,3,103703.67
89,12,27,3,2024/06/07,23456.78,4,93827.12
90,107,56,6,2024/06/06,87654.32,5,438271.6
91,86,29,9,2024/06/06,9876.54,4,39506.16
92,125,29,9,2024/06/06,9876.54,1,9876.54
93,120,9,3,2024/06/06,78954.32,4,315817.28
94,165,31,8,2024/06/06,5678.9,1,5678.9
95,145,47,2,2024/06/05,23456.78,3,70370.34
96,134,4,10,2024/06/06,45678.9,5,228394.5
97,179,18,6,2024/06/07,98765.43,2,197530.86
98,40,51,6,2024/06/07,2345.67,1,2345.67
99,186,40,9,2024/06/05,9876.54,5,49382.7
100,126,22,3,2024/06/07,78901.23,1,78901.23
101,192,17,2,2024/06/05,34567.89,3,103703.67
102,87,5,2,2024/06/05,34567.89,4,138271.56
103,58,25,9,2024/06/05,2345.67,4,9382.68
104,170,47,4,2024/06/07,23456.78,3,70370.34
105,84,13,4,2024/06/06,23456.78,5,117283.9
106,98,12,7,2024/06/05,98765.43,3,296296.29
107,115,29,6,2024/06/07,9876.54,4,39506.16
108,49,50,7,2024/06/06,9876.54,3,29629.62
109,75,29,3,2024/06/05,9876.54,1,9876.54
110,2,47,5,2024/06/07,23456.78,4,93827.12
111,14,4,9,2024/06/05,45678.9,4,182715.6
112,76,12,6,2024/06/06,98765.43,4,395061.72
113,3,28,7,2024/06/07,5678.9,2,11357.8
114,20,24,10,2024/06/07,4567.89,3,13703.67
115,146,43,10,2024/06/05,8765.43,5,43827.15
116,19,56,5,2024/06/06,87654.32,1,87654.32
117,81,28,4,2024/06/07,5678.9,5,28394.5
118,92,60,10,2024/06/06,7890.12,5,39450.6
119,128,13,1,2024/06/05,23456.78,4,93827.12
120,76,8,10,2024/06/05,54987.65,2,109975.3
121,9,50,1,2024/06/06,9876.54,4,39506.16
122,128,58,3,2024/06/07,23456.78,1,23456.78
123,162,5,8,2024/06/06,34567.89,3,103703.67
124,197,2,9,2024/06/07,56749.78,1,56749.78
125,34,59,7,2024/06/06,45678.9,3,137036.7
126,152,8,4,2024/06/05,54987.65,4,219950.6
127,198,60,6,2024/06/06,7890.12,1,7890.12
128,45,48,8,2024/06/05,5678.9,4,22715.6
129,24,10,4,2024/06/07,45678.9,2,91357.8
130,3,14,4,2024/06/07,67890.12,4,271560.48
131,191,37,9,2024/06/05,78901.23,4,315604.92
132,42,36,4,2024/06/05,87654.32,2,175308.64
133,109,52,4,2024/06/07,45678.9,5,228394.5
134,138,47,3,2024/06/07,23456.78,4,93827.12
135,39,9,2,2024/06/07,78954.32,4,315817.28
136,119,19,6,2024/06/07,23456.78,4,93827.12
137,3,11,1,2024/06/05,34567.89,4,138271.56
138,178,52,9,2024/06/05,45678.9,5,228394.5
139,184,22,6,2024/06/07,78901.23,1,78901.23
140,101,49,4,2024/06/07,7890.12,3,23670.36
141,26,53,5,2024/06/05,5678.9,3,17036.7
142,16,35,5,2024/06/05,98765.43,5,493827.15
143,24,3,2,2024/06/07,19876.45,5,99382.25
144,26,14,3,2024/06/06,67890.12,4,271560.48
145,189,16,8,2024/06/05,45678.9,3,137036.7
146,142,58,2,2024/06/07,23456.78,3,70370.34
147,27,33,2,2024/06/06,23456.78,5,117283.9
148,67,8,6,2024/06/07,54987.65,5,274938.25
149,110,43,5,2024/06/06,8765.43,3,26296.29
150,5,57,6,2024/06/07,98765.43,3,296296.29
151,111,58,5,2024/06/05,23456.78,4,93827.12
152,163,55,10,2024/06/05,7890.12,2,15780.24
153,130,55,2,2024/06/05,7890.12,2,15780.24
154,19,36,4,2024/06/07,87654.32,3,262962.96
155,79,1,8,2024/06/07,23456.78,2,46913.56
156,200,7,3,2024/06/05,98765.43,1,98765.43
157,139,33,6,2024/06/06,23456.78,5,117283.9
158,170,8,3,2024/06/07,54987.65,4,219950.6
159,48,49,2,2024/06/05,7890.12,5,39450.6
160,166,10,7,2024/06/06,45678.9,2,91357.8
161,86,47,3,2024/06/07,23456.78,2,46913.56
162,87,16,2,2024/06/07,45678.9,5,228394.5
163,41,35,5,2024/06/05,98765.43,5,493827.15
164,144,18,7,2024/06/07,98765.43,3,296296.29
165,108,37,8,2024/06/07,78901.23,2,157802.46
166,12,24,8,2024/06/05,4567.89,3,13703.67
167,159,54,7,2024/06/06,23456.78,4,93827.12
168,59,34,3,2024/06/06,7890.12,5,39450.6
169,133,9,3,2024/06/06,78954.32,4,315817.28
170,59,52,8,2024/06/06,45678.9,1,45678.9
171,190,48,10,2024/06/07,5678.9,3,17036.7
172,105,15,3,2024/06/06,78954.32,2,157908.64
173,68,54,3,2024/06/07,23456.78,4,93827.12
174,146,53,4,2024/06/07,5678.9,2,11357.8
175,188,42,6,2024/06/05,7890.12,5,39450.6
176,46,12,9,2024/06/06,98765.43,5,493827.15
177,2,8,8,2024/06/07,54987.65,1,54987.65
178,146,4,7,2024/06/05,45678.9,2,91357.8
179,42,19,1,2024/06/07,23456.78,1,23456.78
180,157,45,2,2024/06/06,5678.9,1,5678.9
181,183,8,5,2024/06/07,54987.65,5,274938.25
182,15,16,2,2024/06/07,45678.9,5,228394.5
183,69,5,8,2024/06/07,34567.89,5,172839.45
184,172,38,1,2024/06/06,45678.9,4,182715.6
185,194,17,7,2024/06/06,34567.89,4,138271.56
186,169,16,2,2024/06/05,45678.9,5,228394.5
187,114,57,2,2024/06/07,98765.43,3,296296.29
188,165,18,9,2024/06/06,98765.43,2,197530.86
189,67,13,4,2024/06/06,23456.78,5,117283.9
190,92,59,1,2024/06/05,45678.9,4,182715.6
191,11,50,2,2024/06/06,9876.54,3,29629.62
192,153,59,9,2024/06/06,45678.9,3,137036.7
193,154,4,7,2024/06/07,45678.9,4,182715.6
194,74,42,5,2024/06/05,7890.12,3,23670.36
195,68,41,3,2024/06/07,23456.78,5,117283.9
196,133,13,7,2024/06/06,23456.78,1,23456.78
197,4,26,2,2024/06/05,9876.54,2,19753.08
198,60,2,9,2024/06/06,56749.78,5,283748.9
199,16,46,4,2024/06/06,9876.54,3,29629.62
200,147,34,2,2024/06/07,7890.12,4,31560.48
201,12,31,5,2024/06/06,5678.9,4,22715.6
202,128,28,8,2024/06/07,5678.9,4,22715.6
203,143,56,1,2024/06/06,87654.32,1,87654.32
204,126,2,8,2024/06/05,56749.78,2,113499.56
205,185,25,10,2024/06/06,2345.67,5,11728.35
206,3,47,4,2024/06/05,23456.78,4,93827.12
207,11,20,10,2024/06/06,56789.01,3,170367.03
208,157,36,3,2024/06/05,87654.32,1,87654.32
209,130,6,9,2024/06/07,65987.32,3,197961.96
210,18,31,3,2024/06/06,5678.9,2,11357.8
211,168,41,1,2024/06/06,23456.78,4,93827.12
212,119,26,7,2024/06/07,9876.54,5,49382.7
213,63,52,3,2024/06/06,45678.9,3,137036.7
214,144,3,10,2024/06/07,19876.45,1,19876.45
215,46,45,7,2024/06/06,5678.9,3,17036.7
216,85,11,5,2024/06/05,34567.89,1,34567.89
217,19,50,6,2024/06/06,9876.54,4,39506.16
218,195,16,9,2024/06/05,45678.9,5,228394.5
219,123,38,9,2024/06/05,45678.9,2,91357.8
220,70,47,8,2024/06/07,23456.78,2,46913.56
221,198,9,7,2024/06/05,78954.32,1,78954.32
222,189,42,8,2024/06/06,7890.12,2,15780.24
223,122,58,3,2024/06/05,23456.78,4,93827.12
224,154,11,9,2024/06/07,34567.89,3,103703.67
225,113,6,9,2024/06/07,65987.32,4,263949.28
226,35,39,8,2024/06/06,34567.89,4,138271.56
227,85,25,1,2024/06/05,2345.67,2,4691.34
228,53,11,1,2024/06/05,34567.89,1,34567.89
229,82,20,8,2024/06/07,56789.01,4,227156.04
230,63,6,4,2024/06/07,65987.32,3,197961.96
231,97,17,1,2024/06/07,34567.89,3,103703.67
232,18,24,6,2024/06/06,4567.89,4,18271.56
233,181,23,3,2024/06/05,9876.54,2,19753.08
234,23,20,8,2024/06/05,56789.01,4,227156.04
235,137,58,10,2024/06/06,23456.78,4,93827.12
236,30,18,7,2024/06/07,98765.43,1,98765.43
237,119,23,7,2024/06/07,9876.54,2,19753.08
238,38,19,2,2024/06/07,23456.78,2,46913.56
239,174,28,3,2024/06/07,5678.9,2,11357.8
240,180,35,9,2024/06/07,98765.43,4,395061.72
241,16,17,1,2024/06/07,34567.89,4,138271.56
242,64,26,10,2024/06/05,9876.54,1,9876.54
243,43,45,6,2024/06/05,5678.9,3,17036.7
244,23,38,3,2024/06/05,45678.9,4,182715.6
245,32,56,10,2024/06/06,87654.32,3,262962.96
246,196,18,4,2024/06/05,98765.43,4,395061.72
247,37,20,6,2024/06/06,56789.01,5,283945.05
248,102,22,1,2024/06/07,78901.23,3,236703.69
249,67,50,10,2024/06/06,9876.54,4,39506.16
250,115,28,10,2024/06/07,5678.9,4,22715.6
251,131,5,6,2024/06/07,34567.89,1,34567.89
252,107,38,5,2024/06/07,45678.9,2,91357.8
253,1,42,3,2024/06/06,7890.12,5,39450.6
254,46,47,6,2024/06/06,23456.78,1,23456.78
255,55,31,3,2024/06/05,5678.9,4,22715.6
256,37,26,1,2024/06/07,9876.54,1,9876.54
257,83,23,10,2024/06/06,9876.54,4,39506.16
258,143,17,1,2024/06/07,34567.89,5,172839.45
259,178,4,3,2024/06/05,45678.9,4,182715.6
260,15,10,2,2024/06/06,45678.9,1,45678.9
261,108,42,9,2024/06/07,7890.12,5,39450.6
262,140,52,4,2024/06/07,45678.9,5,228394.5
263,47,1,2,2024/06/07,23456.78,3,70370.34
264,116,54,5,2024/06/07,23456.78,1,23456.78
265,135,13,1,2024/06/07,23456.78,5,117283.9
266,166,40,2,2024/06/07,9876.54,2,19753.08
267,27,34,6,2024/06/05,7890.12,2,15780.24
268,117,4,1,2024/06/06,45678.9,3,137036.7
269,174,30,1,2024/06/07,12345.67,3,37037.01
270,21,40,5,2024/06/06,9876.54,3,29629.62
271,195,20,9,2024/06/06,56789.01,1,56789.01
272,66,29,1,2024/06/05,9876.54,1,9876.54
273,187,45,2,2024/06/05,5678.9,1,5678.9
274,46,48,6,2024/06/06,5678.9,1,5678.9
275,87,37,10,2024/06/05,78901.23,2,157802.46
276,36,5,5,2024/06/07,34567.89,3,103703.67
277,144,3,10,2024/06/07,19876.45,2,39752.9
278,126,33,5,2024/06/07,23456.78,2,46913.56
279,94,11,1,2024/06/05,34567.89,3,103703.67
280,99,7,8,2024/06/05,98765.43,4,395061.72
281,12,8,7,2024/06/07,54987.65,3,164962.95
282,154,6,7,2024/06/07,65987.32,2,131974.64
283,98,16,10,2024/06/05,45678.9,5,228394.5
284,91,53,1,2024/06/06,5678.9,4,22715.6
285,74,46,4,2024/06/06,9876.54,3,29629.62
286,142,41,8,2024/06/07,23456.78,5,117283.9
287,178,9,4,2024/06/05,78954.32,1,78954.32
288,8,3,6,2024/06/07,19876.45,4,79505.8
289,81,19,10,2024/06/06,23456.78,3,70370.34
290,66,12,1,2024/06/05,98765.43,2,197530.86
291,106,21,4,2024/06/07,87654.32,3,262962.96
292,106,39,7,2024/06/07,34567.89,1,34567.89
293,186,24,5,2024/06/07,4567.89,5,22839.45
294,54,43,2,2024/06/05,8765.43,3,26296.29
295,12,26,5,2024/06/07,9876.54,1,9876.54
296,126,26,4,2024/06/07,9876.54,5,49382.7
297,139,53,1,2024/06/05,5678.9,1,5678.9
298,15,13,4,2024/06/05,23456.78,1,23456.78
299,128,25,4,2024/06/06,2345.67,2,4691.34
300,59,54,3,2024/06/07,23456.78,1,23456.78
301,1,1,9,2024-06-10,123,12,33333
